,Product Name,Price,User_Rating,Reviews Count
0,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,"1,199",4.0,"(52,302)"
1,Skybags Brat Black 46 Cms Casual Backpack ,659,4.1,"(3,775)"
2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,565,4.3,"(9,815)"
3,Kuber Industries Women's Handkerchief Set (Cream) ,313,3.8,(482)
4,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3) ,615,3.9,"(4,102)"
5,ADISA women girls embroided sling bag ,495,4.2,"(1,428)"
6,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle ,974,4.2,"(3,629)"
7,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley ,949,3.9,"(6,307)"
8,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,499,3.8,(566)
9,Half Moon 35 L Waterproof Laptop College School Office Bag Backpack for Men Women Boys Girls with 15.6 inch Padded Laptop Compartment & Rain Cover (Navy_Blue) ,689,3.9,"(15,254)"
10,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB) ,299,4.0,"(18,019)"
11,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black ,214,3.7,"(6,057)"
12,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets ,699,3.7,(115)
13,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER ","1,299",4.1,(8)
14,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour) ,288,4.0,"(1,058)"
15,Blue Tree 10 Ltrs ( Cms)Backpack(Bluetree_Backpacks_034_Multi Colour) ,288,4.0,"(1,058)"
16,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",324,4.2,(50)
17,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent ",324,4.2,(50)
18,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,435,4.0,(4)
19,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,435,4.0,(4)
20,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,288,4.0,(68)
21,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow) ,288,4.0,(68)
22,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,435,5.0,(1)
23,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2) ,435,5.0,(1)
24,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Shark ,435,4.6,(12)
25,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Shark ,435,4.6,(12)
26,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag) ,288,4.0,"(1,479)"
27,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag) ,288,4.0,"(1,479)"
28,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,549,4.2,(101)
29,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment ,549,4.2,(101)
30,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,849,3.9,"(2,342)"
31,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",398,4.1,"(8,162)"
32,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown ,"1,075",4.4,"(5,456)"
33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK) ",799,3.9,(717)
34,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey) ,599,4.0,(32)
35,ADISA Light Weight Laptop Backpack 32 Ltrs ,499,4.0,"(5,650)"
