,Product Name,Product Description,URL_links
0,N/A,N/A,/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=bKciC&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=283YJJRREERJNBM6E9JX&pd_rd_wg=xs1FM&pd_rd_r=507e30e0-f45a-4c33-a5d3-e0fe2ab29be7&qid=1679400825
1,N/A,N/A,/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-1
2,N/A,N/A,/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-2
3,N/A,N/A,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-3
4,N/A,N/A,/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_16?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=e2b675c4-9e5e-4152-9031-62f0a7c1f74c&pd_rd_w=R5KY7&pd_rd_wg=MUG7b&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=283YJJRREERJNBM6E9JX&qid=1679400825&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21
5,N/A,N/A,/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_16?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=e2b675c4-9e5e-4152-9031-62f0a7c1f74c&pd_rd_w=R5KY7&pd_rd_wg=MUG7b&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=283YJJRREERJNBM6E9JX&qid=1679400825&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21
6,N/A,N/A,/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_16?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=e2b675c4-9e5e-4152-9031-62f0a7c1f74c&pd_rd_w=R5KY7&pd_rd_wg=MUG7b&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=283YJJRREERJNBM6E9JX&qid=1679400825&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21
7,N/A,N/A,/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_16?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=e2b675c4-9e5e-4152-9031-62f0a7c1f74c&pd_rd_w=R5KY7&pd_rd_wg=MUG7b&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=283YJJRREERJNBM6E9JX&qid=1679400825&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21
8,N/A,N/A,/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-4
9,N/A,N/A,/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-5
10,N/A,N/A,/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-6
11,N/A,N/A,/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-7
12,N/A,N/A,/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-8
13,N/A,N/A,/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-9
14,N/A,N/A,/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679400825&sprefix=ba%2Caps%2C283&sr=8-10
15,N/A,N/A,/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_25_trfob_0_B07HLYW3FF?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=e2b675c4-9e5e-4152-9031-62f0a7c1f74c&pd_rd_w=W6A29&pd_rd_wg=MUG7b&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=283YJJRREERJNBM6E9JX&qid=1679400825&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a
