,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Kmeans_Clusters
0,2020-9-2-17,Format1,300,250,75000,Inter222,Video,Desktop,Display,1806,325,323,1,0.0,0.35,0.0,0.30959752321981426,0.0,0.0,0
1,2020-9-2-10,Format1,300,250,75000,Inter227,App,Mobile,Video,1780,285,285,1,0.0,0.35,0.0,0.3508771929824561,0.0,0.0,0
2,2020-9-1-22,Format1,300,250,75000,Inter222,Video,Desktop,Display,2727,356,355,1,0.0,0.35,0.0,0.28169014084507044,0.0,0.0,0
3,2020-9-3-20,Format1,300,250,75000,Inter228,Video,Mobile,Video,2430,497,495,1,0.0,0.35,0.0,0.20202020202020202,0.0,0.0,0
4,2020-9-4-15,Format1,300,250,75000,Inter217,Web,Desktop,Video,1218,242,242,1,0.0,0.35,0.0,0.4132231404958678,0.0,0.0,0
5,2020-9-4-5,Format1,300,250,75000,Inter219,Video,Desktop,Display,490,64,64,2,0.0,0.35,0.0,3.125,0.0,0.0,0
6,2020-9-4-6,Format1,300,250,75000,Inter221,App,Mobile,Video,1197,202,202,1,0.01,0.35,0.0,0.49504950495049505,0.04950495049504951,0.01,0
7,2020-9-6-7,Format1,300,250,75000,Inter228,Video,Mobile,Video,1363,198,196,1,0.0,0.35,0.0,0.5102040816326531,0.0,0.0,0
8,2020-9-8-6,Format1,300,250,75000,Inter223,Web,Mobile,Video,1402,137,136,1,0.0,0.35,0.0,0.7352941176470588,0.0,0.0,0
9,2020-9-11-17,Format1,300,250,75000,Inter228,Video,Mobile,Display,1816,312,311,1,0.0,0.35,0.0,0.3215434083601286,0.0,0.0,0
10,2020-9-12-7,Format1,300,250,75000,Inter225,Video,Mobile,Display,1644,255,255,1,0.0,0.35,0.0,0.39215686274509803,0.0,0.0,0
11,2020-9-15-18,Format1,300,250,75000,Inter227,App,Mobile,Display,1935,441,439,1,0.0,0.35,0.0,0.22779043280182232,0.0,0.0,0
12,2020-9-16-19,Format1,300,250,75000,Inter229,Video,Desktop,Video,2156,436,431,1,0.0,0.35,0.0,0.23201856148491878,0.0,0.0,0
13,2020-9-14-1,Format1,300,250,75000,Inter224,Web,Desktop,Display,881,118,116,1,0.0,0.35,0.0,0.8620689655172413,0.0,0.0,0
14,2020-9-17-0,Format1,300,250,75000,Inter227,App,Mobile,Video,967,181,178,1,0.0,0.35,0.0,0.5617977528089888,0.0,0.0,0
15,2020-9-15-22,Format1,300,250,75000,inter230,Video,Mobile,Video,1787,427,426,1,0.0,0.35,0.0,0.2347417840375587,0.0,0.0,0
16,2020-9-20-18,Format1,300,250,75000,Inter226,Web,Mobile,Video,1467,307,303,2,0.0,0.35,0.0,0.6600660066006601,0.0,0.0,0
17,2020-9-28-9,Format1,300,250,75000,Inter219,Video,Desktop,Display,2027,369,364,1,0.0,0.35,0.0,0.27472527472527475,0.0,0.0,0
18,2020-9-28-8,Format6,336,250,84000,inter230,Video,Mobile,Video,2070,308,308,1,0.0,0.35,0.0,0.3246753246753247,0.0,0.0,0
19,2020-9-28-13,Format1,300,250,75000,Inter225,Video,Mobile,Display,1848,244,239,1,0.0,0.35,0.0,0.41841004184100417,0.0,0.0,0
20,2020-10-2-20,Format1,300,250,75000,Inter220,Web,Mobile,Display,2203,345,343,1,0.0,0.35,0.0,0.2915451895043732,0.0,0.0,0
21,2020-10-1-0,Format1,300,250,75000,Inter229,Video,Desktop,Video,1126,167,162,1,0.0,0.35,0.0,0.6172839506172839,0.0,0.0,0
22,2020-9-30-20,Format1,300,250,75000,Inter217,Web,Desktop,Display,1828,278,273,1,0.0,0.35,0.0,0.3663003663003663,0.0,0.0,0
23,2020-9-30-21,Format1,300,250,75000,Inter219,Video,Desktop,Display,1958,302,295,1,0.0,0.35,0.0,0.3389830508474576,0.0,0.0,0
