,Calories, Total Fat (g),Cholesterol (mg),clusters,Clus_kmeans,sil_width
0,3,0.1,0,2,1,0.5785997728482759
1,4,0.1,0,2,1,0.5793684990207965
2,5,0.1,0,2,1,0.5800917893182252
3,5,0.1,0,2,1,0.5800917893182252
4,70,0.1,10,2,1,0.6468714560584564
5,100,3.5,10,2,1,0.5883664022058868
6,70,2.5,6,2,1,0.6132232142043637
7,100,0.2,15,2,1,0.666027615550762
8,150,6.0,15,2,1,0.3513855970347859
9,110,4.5,10,2,1,0.5217297336570133
10,130,0.3,19,2,1,0.6576701110419261
11,190,7.0,19,2,1,0.15113980652807174
12,150,5.0,13,2,1,0.4442898504163224
13,170,0.4,25,2,1,0.5920466109953642
14,240,9.0,24,2,0,0.12924156593720537
15,190,7.0,16,2,1,0.17804036456380076
16,110,1.5,21,2,1,0.6718770889135499
17,130,4.0,21,2,1,0.5363008383811115
18,110,3.5,19,2,1,0.5908928801580938
19,170,2.0,32,2,1,0.5221031925065486
20,200,6.0,32,2,0,-0.039741641923430965
21,180,5.0,28,2,1,0.2823782948361233
22,220,2.5,43,2,0,-0.09523554838460628
23,260,8.0,42,2,0,0.3514481237334019
24,230,7.0,37,2,0,0.22233654376022266
25,280,3.0,54,1,0,0.38384385235298385
26,340,11.0,53,1,0,0.4044599028916598
27,290,9.0,47,1,0,0.40864407244600387
28,100,0.1,19,2,1,0.6673450941762727
29,130,3.5,18,2,1,0.5808084872973736
30,110,2.5,16,2,1,0.644441630236912
31,150,0.2,28,2,1,0.6103423114624119
32,200,5.0,28,2,1,0.21264146589476735
33,160,4.0,23,2,1,0.4828942124052439
34,200,0.3,37,2,1,0.41410466596792667
35,250,6.0,37,2,0,0.2376444574982866
36,210,5.0,31,2,1,0.11887325807530932
37,250,0.3,47,2,0,-0.056457091142814615
38,320,9.0,46,1,0,0.4240808118740166
39,270,7.0,39,2,0,0.3370742381162887
40,5,0.0,1,2,1,0.5825100427092236
41,10,0.0,2,2,1,0.5889463100555213
42,15,0.0,3,2,1,0.5949829583425594
43,25,0.0,4,2,1,0.6040756386136096
44,50,0.1,8,2,1,0.6318223516668513
45,80,3.0,8,2,1,0.6056669425065914
