,spi_sort,spid_sort,score_sort,similarity_flag
0,C301FE 150007,JE CRC301 FE 150002,75,0
1,C301FE 150007,JE CRC301 FT 150006,75,0
2,C301FE 150007,JE CRC301 FY 150004,75,0
3,C301FE 150007,JE CRC301 FI 160007,75,0
4,C301FE 150007,JE CRC301 FV 050007,75,0
5,C301FT 150007,JE CRC301 FT 150006,75,0
6,C301FT 150007,JE CRC301 FT 150002,75,0
7,C301FT 150007,JE CRC301 FT 150003,75,0
8,C301FT 150007,JE CRC301 FT 150005,75,0
9,C301FT 150007,JE CRC301 FT 130007A,73,0
10,C301FIC 150007,CRC301 HIC 150001,77,0
11,C301FIC 150007,JE CRC301 FIC 150008,76,0
12,C301FIC 150007,JE CRC301 FIC 130007,76,0
13,C301FIC 150007,JE CRC301 LIC 150007,76,0
14,C301FIC 150007,JE CRC301 FI 160007,73,0
15,C301FV 150007,JE CRC301 FV 050007,75,0
16,C301FV 150007,JE CRC301 FV 150002,75,0
17,C301FV 150007,JE CRC301 FV 150003B,73,0
18,C301FV 150007,JE CRC301 FV 160005,69,0
19,C301FV 150007,JE CRC301 FE 150002,69,0
20,C301PSV 060005,JE CRC301 PSV 060040,76,0
21,C301PSV 060005,JE CRC301 PSV 060006,76,0
22,C301PSV 060005,JE CRC301 PSV 200059,71,0
23,C301PSV 060005,JE CRC301 PSV 200040,71,0
24,C301PSV 060005,JE CRC301 PSV 160006,71,0
25,C301PSV 060006,JE CRC301 PSV 060006,82,1
26,C301PSV 060006,JE CRC301 PSV 060040,76,0
27,C301PSV 060006,JE CRC301 PSV 160006,76,0
28,C301PSV 060006,JE CRC301 PSV 050006,76,0
29,C301PSV 060006,JE CRC301 PSV 200040,71,0
30,C301FO 060011,JE CRC301 FO 060014,75,0
31,C301FO 060011,JE CRC301 FO 080061,69,0
32,C301FO 060011,JE CRC301 FE 050011,69,0
33,C301FO 060011,JE CRC301 FO 110011,69,0
34,C301FO 060011,JE CRC301 FO 180011,69,0
35,C301FO 060017,JE CRC301 FO 060014,75,0
36,C301FO 060017,JE CRC301 FO 070017,75,0
37,C301FO 060017,CRC301 PI 060017A,73,0
38,C301FO 060017,JE CRC301 FO 080061,69,0
39,C301FO 060017,JE CRC301 FO 090007,69,0
40,C301LT 060003,JE CRC301 LT 060002,75,0
41,C301LT 060003,JE CRC301 LT 160003B,73,0
42,C301LT 060003,JE CRC301 LI 060003A,73,0
43,C301LT 060003,JE CRC301 LT 200003A,73,0
44,C301LT 060003,JE CRC301 FT 060007,69,0
45,C301LI 060003A,JE CRC301 LI 060003A,82,1
46,C301LI 060003A,JE CRC301 LI 060002A,76,0
47,C301LI 060003A,JE CRC301 LI 060001A,76,0
48,C301LI 060003A,JE CRC301 PI 060037A,71,0
49,C301LI 060003A,CRC301 PI 060017A,71,0
50,C301LI 060003B,JE CRC301 LI 060003A,76,0
51,C301LI 060003B,JE CRC301 LI 060002B,76,0
52,C301LI 060003B,JE CRC301 LT 160003B,71,0
53,C301LI 060003B,JE CRC301 LIC 060010,71,0
54,C301LI 060003B,JE CRC301 LIC 060008,71,0
55,C301LT 060004,JE CRC301 LT 060002,75,0
56,C301LT 060004,JE CRC301 FT 060004,75,0
57,C301LT 060004,JE CRC301 FT 060007,69,0
58,C301LT 060004,JE CRC301 TI 060010,69,0
59,C301LT 060004,JE CRC301 TY 040004,69,0
60,C301LI 060004A,JE CRC301 LI 060003A,76,0
61,C301LI 060004A,JE CRC301 LI 060002A,76,0
62,C301LI 060004A,JE CRC301 LI 060001A,76,0
63,C301LI 060004A,CRC301 PI 060017A,71,0
64,C301LI 060004A,JE CRC301 LIC 060010,71,0
65,C301LI 060004B,JE CRC301 LI 060002B,76,0
66,C301LI 060004B,JE CRC301 LI 060003A,71,0
67,C301LI 060004B,JE CRC301 LIC 060010,71,0
68,C301LI 060004B,JE CRC301 LIC 060008,71,0
69,C301LI 060004B,JE CRC301 LI 060002A,71,0
70,C301PDT 060001,JE CRC301 PDT 060002,76,0
71,C301PDT 060001,CRC301 PDT 020101A,75,0
72,C301PDT 060001,JE CRC301 TI 060001,73,0
73,C301PDT 060001,JE CRC301 PT 060014,73,0
74,C301PDT 060001,JE CRC301 PDT 030041,71,0
75,C301PDI 060001,CRC301 PI 060017A,77,0
76,C301PDI 060001,JE CRC301 PDI 060010,76,0
77,C301PDI 060001,CRC301 PDI 020101A,75,0
78,C301PDI 060001,JE CRC301 TI 060001,73,0
79,C301PDI 060001,JE CRC301 PIC 060014,71,0
80,C301PDT 060002,JE CRC301 PDT 060002,82,1
81,C301PDT 060002,JE CRC301 LT 060002,73,0
82,C301PDT 060002,JE CRC301 PDG 040002,71,0
83,C301PDT 060002,JE CRC301 PT 060012C,71,0
84,C301PDT 060002,JE CRC301 PDT 080022,71,0
85,C301PDI 060002,JE CRC301 PDI 060010,76,0
86,C301PDI 060002,JE CRC301 PDT 060002,76,0
87,C301PDI 060002,JE CRC301 PDG 040002,71,0
88,C301PDI 060002,CRC301 PI 060017A,71,0
89,C301PDI 060002,JE CRC301 PDI 030026,71,0
90,C301LT 060001,JE CRC301 TI 060001,75,0
91,C301LT 060001,JE CRC301 LT 060002,75,0
92,C301LT 060001,CRC301 TT 090001B,73,0
93,C301LT 060001,JE CRC301 LT 200001B,73,0
94,C301LT 060001,JE CRC301 LT 020001B,73,0
95,C301LI 060001A,JE CRC301 LI 060001A,82,1
96,C301LI 060001A,CRC301 PI 060017A,77,0
97,C301LI 060001A,JE CRC301 LI 060003A,76,0
98,C301LI 060001A,JE CRC301 LI 060002A,76,0
99,C301LI 060001A,JE CRC301 TI 060001AC,74,0
100,C301LI 060001B,JE CRC301 LI 060002B,76,0
101,C301LI 060001B,JE CRC301 LI 060001A,76,0
102,C301LI 060001B,JE CRC301 TI 060001BG,74,0
103,C301LI 060001B,JE CRC301 TI 060001BA,74,0
104,C301LI 060001B,JE CRC301 TI 060001BC,74,0
105,C301LT 060002,JE CRC301 LT 060002,81,0
106,C301LT 060002,JE CRC301 LI 060002A,73,0
107,C301LT 060002,JE CRC301 PDT 060002,73,0
108,C301LT 060002,JE CRC301 TI 060002B,73,0
109,C301LT 060002,JE CRC301 LI 060002B,73,0
110,C301LI 060002A,JE CRC301 LI 060002A,82,1
111,C301LI 060002A,JE CRC301 LI 060003A,76,0
112,C301LI 060002A,JE CRC301 LI 060002B,76,0
113,C301LI 060002A,JE CRC301 LI 060001A,76,0
114,C301LI 060002A,JE CRC301 LT 060002,73,0
115,C301LI 060002B,JE CRC301 LI 060002B,82,1
116,C301LI 060002B,JE CRC301 LI 060002A,76,0
117,C301LI 060002B,JE CRC301 TI 060002B,76,0
118,C301LI 060002B,JE CRC301 M 060002B,73,0
119,C301LI 060002B,JE CRC301 LT 060002,73,0
120,C301PT 060036,JE CRC301 PT 070038,69,0
121,C301PT 060036,JE CRC301 PT 200061,69,0
122,C301PT 060036,JE CRC301 PG 060035,69,0
123,C301PT 060036,JE CRC301 PT 080034,69,0
124,C301PT 060036,JE CRC301 PT 400003,69,0
125,C301PI 060036A,CRC301 PI 060017A,77,0
126,C301PI 060036A,JE CRC301 PI 060037A,76,0
127,C301PI 060036A,CRC301 PDI 020103A,75,0
128,C301PI 060036A,JE CRC301 PI 030036,73,0
129,C301PI 060036A,JE CRC301 PI 060056,73,0
130,C301PI 060036B,JE CRC301 PI 030036,73,0
131,C301PI 060036B,JE CRC301 PI 060056,73,0
132,C301PI 060036B,JE CRC301 PI 060037A,71,0
133,C301PI 060036B,CRC301 PI 060017A,71,0
134,C301PI 060036B,JE CRC301 PI 090056B,71,0
135,C301PT 060037,JE CRC301 PI 060037A,73,0
136,C301PT 060037,CRC301 PI 060017A,73,0
137,C301PT 060037,JE CRC301 PT 070038,69,0
138,C301PT 060037,JE CRC301 TE 080037,69,0
139,C301PT 060037,JE CRC301 PG 070037,69,0
140,C301PI 060037A,CRC301 PI 060017A,84,1
141,C301PI 060037A,JE CRC301 PI 060037A,82,1
142,C301PI 060037A,CRC301 PDI 020103A,75,0
143,C301PI 060037A,JE CRC301 LI 060003A,71,0
144,C301PI 060037A,JE CRC301 PIC 060013,71,0
145,C301PI 060037B,CRC301 PI 060017A,77,0
146,C301PI 060037B,JE CRC301 PI 060037A,76,0
147,C301PI 060037B,JE CRC301 PIC 060013,71,0
148,C301PI 060037B,CRC301 PDI 020103A,69,0
149,C301PI 060037B,CRC301 PSV 080103B,69,0
150,C301XV 060008,JE CRC301 XV 060008,81,0
151,C301XV 060008,JE CRC301 XV 090008,75,0
152,C301XV 060008,JE CRC301 XV 060004,75,0
153,C301XV 060008,JE CRC301 XV 050008,75,0
