,PDS,PDS_kmeans,PDS_clusters
0,TT-25,0,5
1,XV-506C,0,7
2,AE160551,0,7
3,C301B999,0,7
4,FI-DCS10,0,7
5,T -DCS05,0,7
6,PSV-740B,5,2
7,PG-617-D,0,3
8,301MVF007,0,7
9,AE-160008,0,6
10,C301P893A,0,7
11,TI-DCS002,0,7
12,PI-CDCS02,0,7
13,LG 300809,0,7
14,F160002-A,0,7
15,AE 300802,0,6
16,PDT-616-A,0,5
17,AE-130005C,0,6
18,C301T08649,0,7
19,C301511001,0,7
20,LT 300810C,0,7
21,PG-974/IND,3,3
22,SP0300-175,0,7
23,WTHE081A/T,0,7
24,301MVH0027,0,7
25,PDG-090037,0,3
26,LV-110573A,0,7
27,C301A200012,0,7
28,C301P40629C,0,7
29,FT-173-500C,0,3
30,301-MVA-706,0,5
31,FE-941/3OP1,4,4
32,FE-934/4CYL,4,4
33,FO 900/4CYL,4,4
34,SP0100-208/,0,7
35,C301PT03101,0,7
36,MF-Y090005D,0,7
37,C301PDI0978,0,7
38,C301AE010102,0,7
39,C301AE10601C,0,7
40,C301P300926R,0,7
41,TE-010515A/B,0,7
42,PT010607/IND,3,3
43,FO-299K/3OP1,0,4
44,PT160642-A/B,0,7
45,TPAG-061/IND,3,3
46,C301AE010101C,0,7
47,C301DAS300162,0,7
48,C301EV 300805,0,7
49,C301FV   5002,0,7
50,C301ST173650C,0,7
51,301-TT-173009,0,5
52,C301T090535BA,0,7
53,C301M160002F1,0,7
54,C301FO030642A,0,7
55,FT 300833/IND,3,3
56,PT-010402/IND,3,3
57,PDT020049/IND,3,3
58,LT170014B/IND,3,3
59,PDT020004/IND,3,3
60,ET-CRC301-014,7,1
61,PDT160551-B/C,0,7
62,FO190025/4CYL,4,4
63,FE120018B/IND,3,3
64,FV-040007/1D1,0,7
65,C301DXS 300181,0,7
66,C301DMC300019R,0,7
67,C301PT   00000,1,7
68,C301PDV  18026,0,7
69,C301MHSB300938,0,7
70,C301PT   03101,1,7
71,301-PDT-173060,0,5
72,AE130005A/4CYL,4,4
73,PT-160055/4CYL,4,3
74,EC-CRC301-003B,2,1
75,FO-300952/4CYL,4,4
76,FO-300955/3OP1,0,4
77,FE 300831/3OP1,4,4
78,FE 300932/4CYL,4,4
79,C301-AT-010207,0,7
80,F0-010271/3OP1,0,4
81,PT-010401C/IND,3,3
82,PSV 807/2PRVA1,5,2
83,PSV-971/2PRVA1,5,2
84,PDG-040005/IND,3,3
85,ME-CRC301-Y003,2,1
86,CRC301-F-70024,2,1
87,CRC30-1-F15000,0,7
88,CRC301-1-30038,2,1
89,C301XZSC130011,0,7
90,C301HS030004BB,0,7
91,C301EHS180001D,0,7
92,FO171010.75CYL,0,7
93,301-TT-300836B,0,5
94,C301AT   010504,0,7
95,C301AXA  020013,0,7
96,C301BZSLL010131,0,7
97,C301DAGC 060260,0,7
98,CRC301-AB0002-B,2,1
99,301-EHSO-020005,0,5
100,JC301-SPPS-2618,0,7
101,PDT-050035A/IND,3,5
102,FV-050014A/1GL1,0,7
103,AS23-PDP31A-JB1,0,7
104,RPMS-SD-J55-131,0,1
105,C301XZSC 173502B,0,7
106,C301ZT   030534B,0,7
107,C301ASL  130005C,0,6
108,JWCRC301S100101A,0,7
109,JC-CRC301-300L01,2,1
110,CRC301-A-010407A,2,1
111,ES-CRC301-001-B7,6,1
112,PT-CRC301-090013,2,3
113,301-XHSC-160018B,0,5
114,C301XZSO 010105SA,0,7
115,C301AT   060003AB,0,7
116,MFEC-CRC301-004PH,2,1
117,JWCRC301S100115A ,0,7
118,ES-CRC301-001.ABN,6,1
119,MC-CRC301-M030001,2,1
120,JC-CRC301-010LD15,2,1
121,JB-CRC301-A0007-F,2,1
122,C301LT 172001/IND,3,3
123,GS-MC301BAXS1-450,0,7
124,PSV-150075/2PRVA1,5,2
125,ET-CRC301-011-LCS,7,1
126,J55-CRC301-000796,2,1
127,CRC301-F-O030608A,2,1
128,CRC301-T-090534AA,2,1
129,MH-CRC301-M160001,2,1
130,ES-CRC301-004-8FB,6,1
131,JWCRC301BC00453E1,0,7
132,JWCRC301CE0001FFD,0,7
133,JB-CRC301-AH3008-E,2,1
134,CPS-MC301CFXM1-401,0,7
135,PSV-090039B/2PRVA1,5,2
136,ET-CRC301-010B-LCS,7,1
137,C301PSV-160040C/2PRVA1,0,2
138,C301PSV-030088/2PRVA1,0,2
139,,0,7
