,PDS,PDS_kmeans
0,TT-25,0
1,XV-506C,0
2,AE160551,0
3,C301B999,0
4,FI-DCS10,0
5,T -DCS05,0
6,PSV-740B,5
7,PG-617-D,0
8,301MVF007,0
9,AE-160008,0
10,C301P893A,0
11,TI-DCS002,0
12,PI-CDCS02,0
13,LG 300809,0
14,F160002-A,0
15,AE 300802,0
16,PDT-616-A,0
17,AE-130005C,0
18,C301T08649,0
19,C301511001,0
20,LT 300810C,0
21,PG-974/IND,3
22,SP0300-175,0
23,WTHE081A/T,0
24,301MVH0027,0
25,PDG-090037,0
26,LV-110573A,0
27,C301A200012,0
28,C301P40629C,0
29,FT-173-500C,0
30,301-MVA-706,0
31,FE-941/3OP1,4
32,FE-934/4CYL,4
33,FO 900/4CYL,4
34,SP0100-208/,0
35,C301PT03101,0
36,MF-Y090005D,0
37,C301PDI0978,0
38,C301AE010102,0
39,C301AE10601C,0
40,C301P300926R,0
41,TE-010515A/B,0
42,PT010607/IND,3
43,FO-299K/3OP1,0
44,PT160642-A/B,0
45,TPAG-061/IND,3
46,C301AE010101C,0
47,C301DAS300162,0
48,C301EV 300805,0
49,C301FV   5002,0
50,C301ST173650C,0
51,301-TT-173009,0
52,C301T090535BA,0
53,C301M160002F1,0
54,C301FO030642A,0
55,FT 300833/IND,3
56,PT-010402/IND,3
57,PDT020049/IND,3
58,LT170014B/IND,3
59,PDT020004/IND,3
60,ET-CRC301-014,7
61,PDT160551-B/C,0
62,FO190025/4CYL,4
63,FE120018B/IND,3
64,FV-040007/1D1,0
65,C301DXS 300181,0
66,C301DMC300019R,0
67,C301PT   00000,1
68,C301PDV  18026,0
69,C301MHSB300938,0
70,C301PT   03101,1
71,301-PDT-173060,0
72,AE130005A/4CYL,4
73,PT-160055/4CYL,4
74,EC-CRC301-003B,2
75,FO-300952/4CYL,4
76,FO-300955/3OP1,0
77,FE 300831/3OP1,4
78,FE 300932/4CYL,4
79,C301-AT-010207,0
80,F0-010271/3OP1,0
81,PT-010401C/IND,3
82,PSV 807/2PRVA1,5
83,PSV-971/2PRVA1,5
84,PDG-040005/IND,3
85,ME-CRC301-Y003,2
86,CRC301-F-70024,2
87,CRC30-1-F15000,0
88,CRC301-1-30038,2
89,C301XZSC130011,0
90,C301HS030004BB,0
91,C301EHS180001D,0
92,FO171010.75CYL,0
93,301-TT-300836B,0
94,C301AT   010504,0
95,C301AXA  020013,0
96,C301BZSLL010131,0
97,C301DAGC 060260,0
98,CRC301-AB0002-B,2
99,301-EHSO-020005,0
100,JC301-SPPS-2618,0
101,PDT-050035A/IND,3
102,FV-050014A/1GL1,0
103,AS23-PDP31A-JB1,0
104,RPMS-SD-J55-131,0
105,C301XZSC 173502B,0
106,C301ZT   030534B,0
107,C301ASL  130005C,0
108,JWCRC301S100101A,0
109,JC-CRC301-300L01,2
110,CRC301-A-010407A,2
111,ES-CRC301-001-B7,6
112,PT-CRC301-090013,2
113,301-XHSC-160018B,0
114,C301XZSO 010105SA,0
115,C301AT   060003AB,0
116,MFEC-CRC301-004PH,2
117,JWCRC301S100115A ,0
118,ES-CRC301-001.ABN,6
119,MC-CRC301-M030001,2
120,JC-CRC301-010LD15,2
121,JB-CRC301-A0007-F,2
122,C301LT 172001/IND,3
123,GS-MC301BAXS1-450,0
124,PSV-150075/2PRVA1,5
125,ET-CRC301-011-LCS,7
126,J55-CRC301-000796,2
127,CRC301-F-O030608A,2
128,CRC301-T-090534AA,2
129,MH-CRC301-M160001,2
130,ES-CRC301-004-8FB,6
131,JWCRC301BC00453E1,0
132,JWCRC301CE0001FFD,0
133,JB-CRC301-AH3008-E,2
134,CPS-MC301CFXM1-401,0
135,PSV-090039B/2PRVA1,5
136,ET-CRC301-010B-LCS,7
137,C301PSV-160040C/2PRVA1,0
138,C301PSV-030088/2PRVA1,0
139,,0
